,Wind Farm,Region,Power per Turbine (MW),No. Turbines Installed,Installed Capacity (MW),Year Online,Developer,Operator,Owner,Country,lat,long,Wind Farm count,Turbine Manufacturer,Turbine Model,State
0,Langford,Bedfordshire,2,10,20,2013,The Co-operative Group,not reported,not reported,England,52.05806,-0.2530556,1,not reported,not reported,United Kingdom
1,Milton Keynes,Buckinghamshire,2,7,14,2010,Your Energy,not reported,Your Energy,England,52.13611,-0.66444,1,Vestas,V90,United Kingdom
2,"White Mill, Coldham",Cambridgeshire,2,7,14,2012,The Co-operative Group,not reported,Ventus VCT plc,England,52.57472,-0.14583,1,REpower,MM82,United Kingdom
3,Coldham,Cambridgeshire,2,8,16,2005,The Co-operative Group,not reported,Scottish Power,England,52.57472,-0.14583,1,not reported,not reported,United Kingdom
4,Glass Moor,Cambridgeshire,2,8,16,2006,Fenland Windfarms Ltd,EDF EN,Fenland Windfarms Ltd,England,52.56833,-0.11139,1,REpower,MM82,United Kingdom
5,Glass Moor 2,Cambridgeshire,2.05,6,12.3,2013,EDF EN,EDF EN,EDF EN,England,52.51,-0.101639,1,Senvion,MM82,United Kingdom
6,McCain Foods,Cambridgeshire,3,3,9,2007,McCains,not reported,not reported,England,52.56111,-0.17222,1,Vestas,V90,United Kingdom
7,Ransonmoor Farm,Cambridgeshire,2,3,6,2007,Ecogen Ltd,not reported,Ecogen,England,52.495,0.02389,1,Gamesa,G80,United Kingdom
8,Ransonmoor Farm Phase II,Cambridgeshire,2,2,4,2008,Ecogen Ltd,not reported,Ecogen,England,52.495,0.02389,1,REpower,MM82,United Kingdom
9,Red Tile,Cambridgeshire,2,12,24,2007,Wind Prospect,Cumbria Wind Farms,EDF EN,England,52.45056,-0.0075,1,REpower,MM82,United Kingdom
10,Stags Holt,Cambridgeshire,2,9,18,2007,Wind Prospect,not reported,E.ON Renewables,England,52.57472,-0.14583,1,Vestas,V80,United Kingdom
11,Frodsham,Cheshire,2.65,19,50.35,2017,Peel Wind Power Ltd,not reported,not reported,England,53.29611,-2.75778,1,not reported,not reported,United Kingdom
12,Bears Down,Cornwall,0.6,16,9.6,2001,npower renewables,Innogy,Innogy,England,50.47306,-4.95306,1,Bonus,B600,United Kingdom
13,Carland Cross,Cornwall,2,10,20,1992,RES,B9 Energy,Scottish Power,England,50.35139,-5.03,1,Gamesa,not reported,United Kingdom
14,Cold Northcott,Cornwall,0.3,22,6.8,1993,First Windfarm Holdings Ltd,Cumbria Wind Farms,First Wind Farm Holdings,England,50.63722,-4.51861,1,WEG,MS3-300,United Kingdom
15,Delabole[2],Cornwall,2.3,4,9.2,1991,Windelectric Management Ltd,Windelectric,Good Energy Group plc,England,50.63722,-4.70417,1,Enercon,E-70,United Kingdom
16,Four Burrows,Cornwall,0.3,15,4.5,1998,Ecogen Ltd,RES,RES,England,50.29167,-5.14556,1,Bonus,B300,United Kingdom
17,Goonhilly Repowering,Cornwall,2,6,12,2010,REG WINDPOWER,not reported,not reported,England,50.04611,-5.19889,1,Vestas,V80,United Kingdom
18,St Breock,Cornwall,0.45,11,4.95,1994,Ecogen Ltd,B9 Energy,E.ON Renewables,England,50.47667,-4.8625,1,Bonus,B450,United Kingdom
19,WWF Roskrow Barton,Cornwall,0.85,2,1.7,2008,REG Windpower,not reported,not reported,England,50.17194,-5.15222,1,Vestas,V52,United Kingdom
20,Broom Hill (includes Sunnyside),County Durham,2,4,8,2009,EdF,Cumbria Wind Farms,EDF Energy,England,54.88528,-1.83778,1,REpower,MM82,United Kingdom
21,Hare Hill(3Hs),County Durham,2.75,2,5.5,2004,E.ON UK Renewables,SKM,E.ON Renewables,England,54.7625,-1.41639,1,Micon,NM80,United Kingdom
22,High Haswell,County Durham,2,2,4,2010,REG,RES,RES,England,54.78056,-1.43861,1,Vestas,V80,United Kingdom
23,High Hedley Hope,County Durham,0.75,3,2.25,2001,EdF,Cumbria Wind Farms,EDF Energy,England,54.76,-1.78083,1,Nordex,N50,United Kingdom
24,High Hedley Hope 2,County Durham,1.3,4,5.2,2008,EdF,Cumbria Wind Farms,EDF Energy,England,54.76472,-1.76833,1,Nordex,N60,United Kingdom
25,High Volts (3Hs),County Durham,2.75,3,8.25,2003,E.ON UK Renewables,E.ON Renewables,E.ON Renewables,England,54.69944,-1.29139,1,Micon,NM80,United Kingdom
26,Holmside Hall (3Hs),County Durham,2.75,2,5.5,2004,E.ON UK Renewables,E.ON Renewables,E.ON Renewables,England,54.83833,-1.67639,1,Micon,NM80,United Kingdom
27,Langley Park/Long Edge,County Durham,2,4,8,2008,EdF,Cumbria Wind Farms,EDF Energy,England,54.795,-1.66722,1,REpower,2,United Kingdom
28,Tow Law,County Durham,0.77,3,2.31,2001,npower renewables,Innogy,Beaufort Wind Limited,England,54.76028,-1.7825,1,Nordex,N50,United Kingdom
29,Trimdon Grange,County Durham,1.3,4,5.2,2008,EdF,Cumbria Wind Farms,EDF Energy,England,54.71306,-1.41944,1,Nordex,N60,United Kingdom
